job_title,company,location,country,job_category,avg_salary_lpa,min_salary_lpa,max_salary_lpa,avg_experience,min_experience,max_experience,seniority,skill_python,skill_java,skill_javascript,skill_sql,skill_excel,skill_tableau,skill_power_bi,skill_react,skill_angular,skill_aws,skill_azure
Walkin Data Entry Operator (night Shift),MM Media Pvt Ltd,Chennai,India,Other IT Role,25.5,1.0,50.0,0.5,0.0,1.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Work Based Onhome Based Part Time.,find live infotech,Chennai,India,Other IT Role,25.5,1.0,50.0,0.0,0.0,0.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Pl/sql Developer - SQL,Softtech Career Infosystem Pvt. Ltd,Bengaluru,India,Other IT Role,,,,6.0,4.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Manager/ad/partner - Indirect Tax - CA,Onboard HRServices LLP,Mumbai,India,Other IT Role,,,,13.0,11.0,15.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
JAVA Technical Lead (6-8 yrs) -,Spire Technologies and Solutions Pvt. Ltd.,Bengaluru,India,Other IT Role,,,,7.0,6.0,8.0,Senior,0,0,0,0,0,0,0,0,0,0,0
WALK IN - As400 Developer - Pfsweb Global Services (bangalore),PFS Web Global Services Pvt Ltd,Bengaluru,India,Other IT Role,,,,3.5,2.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
PHP Developer,Kinesis Management Consultant Pvt. Ltd,Mumbai,India,Other IT Role,1.5,3.0,0.0,2.0,1.0,3.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Member Technical Staff-wire Harness/cable Harness/technicians,"Agile HR consultancy Pvt. Ltd. hiring for Rossell Techsys, Bangalore.",Bengaluru,India,Other IT Role,,,,4.5,2.0,7.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Team Leader,HANSUM INDIA ELECTRONICS PVT.LTD.,Bengaluru,India,Other IT Role,0.5,1.0,0.0,2.0,1.0,3.0,Senior,0,0,0,0,0,0,0,0,0,0,0
German Translator,Accenture,Bengaluru,India,Other IT Role,,,,3.0,1.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Business Development Manager,Premium,Mumbai,India,Other IT Role,,,,2.0,1.0,3.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Opening for Android Developer-bangalore-4-8 yrs,Convate hiring for Retail/e-commerce domain,Bengaluru,India,Mobile Developer,,,,6.0,4.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Full Stack Web Application (php) Developer,Sinai Global,Bengaluru,India,Full Stack Developer,38.0,1.0,75.0,3.0,2.0,4.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Looking for an Application Engineer-fpga,Mathematical Computing Software Company,Bengaluru,India,Other IT Role,,,,5.5,3.0,8.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Revenue Assurance,Accenture,Bengaluru,India,Other IT Role,,,,3.0,1.0,5.0,Mid-Level,0,0,0,0,0,0,0,0,0,0,0
Senior Java Full Stack Developer - Java/ Spring 4,PKS & Associates,Bengaluru,India,Full Stack Developer,,,,6.0,5.0,7.0,Senior,0,0,0,0,0,0,0,0,0,0,0
