job_title,company,location,location,country,job_category,avg_salary_usd,seniority,skill_python,skill_r,skill_sql,skill_excel,skill_tableau,skill_power_bi,skill_sas,skill_spark,skill_aws,skill_azure,skill_machine_learning,skill_deep_learning,skill_statistics,skill_hadoop,skill_java,skill_scala,skill_git,skill_docker,skill_pandas,skill_numpy,skill_scikit,skill_tensorflow,skill_pytorch,skill_nlp,skill_data_visualization,skill_etl
"Data Analyst, Center on Immigration and Justice (CIJ)",Vera Institute of Justice,"New York, NY",NY,USA,Data Analyst,51.5,Mid-Level,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Quality Data Analyst,Visiting Nurse Service of New York,"New York, NY",NY,USA,Data Analyst,51.5,Mid-Level,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",Squarespace,"New York, NY",NY,USA,Data Analyst,51.5,Senior,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Data Analyst,Celerity,"New York, NY",NY,USA,Data Analyst,51.5,Mid-Level,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Reporting Data Analyst,FanDuel,"New York, NY",NY,USA,Data Analyst,51.5,Mid-Level,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Point72,"New York, NY",NY,USA,Data Analyst,51.5,Mid-Level,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Business/Data Analyst (FP&A),Two Sigma,"New York, NY",NY,USA,Data Analyst,51.5,Mid-Level,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Science Analyst,GNY Insurance Companies,"New York, NY",NY,USA,Other IT Role,51.5,Mid-Level,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,DMGT,"New York, NY",NY,USA,Data Analyst,51.5,Mid-Level,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
"Data Analyst, Merchant Health",Riskified,"New York, NY",NY,USA,Data Analyst,51.5,Mid-Level,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
